MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
15092 On ch=1 n=c7 v=0
15102 On ch=1 n=f6 v=68
15130 On ch=1 n=a4 v=0
15154 On ch=1 n=f6 v=0
15202 On ch=1 n=f7 v=89
15216 On ch=1 n=d#4 v=66
15278 On ch=1 n=d#4 v=0
15288 On ch=1 n=g7 v=75
15306 On ch=1 n=f7 v=0
15368 On ch=1 n=f7 v=81
15372 On ch=1 n=g7 v=0
15400 On ch=1 n=c5 v=35
15400 On ch=1 n=a4 v=37
15416 On ch=1 n=f7 v=0
15448 On ch=1 n=f6 v=62
15462 On ch=1 n=a4 v=0
15470 On ch=1 n=c5 v=0
15510 On ch=1 n=f6 v=0
15524 On ch=1 n=d4 v=72
15542 On ch=1 n=b6 v=104
15570 On ch=1 n=d4 v=0
15592 On ch=1 n=b6 v=0
15616 Par ch=1 c=64 v=127
15619 On ch=1 n=c7 v=88
15676 Par ch=1 c=64 v=0
15704 On ch=1 n=f5 v=42
15706 On ch=1 n=b6 v=98
15712 On ch=1 n=b4 v=64
15730 On ch=1 n=c7 v=0
15752 On ch=1 n=b4 v=0
15760 On ch=1 n=f5 v=0
15778 On ch=1 n=f6 v=72
15792 On ch=1 n=b6 v=0
15830 On ch=1 n=f6 v=0
15868 On ch=1 n=c#4 v=78
15872 On ch=1 n=f7 v=98
15916 On ch=1 n=c#4 v=0
15922 Par ch=1 c=64 v=127
15962 On ch=1 n=f7 v=0
15965 On ch=1 n=g7 v=72
16018 On ch=1 n=f7 v=78
16040 On ch=1 n=f5 v=55
16040 On ch=1 n=a#4 v=56
16076 Par ch=1 c=64 v=0
16084 On ch=1 n=f5 v=0
16090 On ch=1 n=a#4 v=0
16096 On ch=1 n=g7 v=0
16128 On ch=1 n=f6 v=72
16131 On ch=1 n=f7 v=0
16184 On ch=1 n=f6 v=0
16234 On ch=1 n=c4 v=57
16240 On ch=1 n=c7 v=95
16284 On ch=1 n=c4 v=0
16336 On ch=1 n=d7 v=82
16348 On ch=1 n=c7 v=0
16354 Par ch=1 c=64 v=127
16414 On ch=1 n=c7 v=80
16440 On ch=1 n=e5 v=41
16452 On ch=1 n=c5 v=43
16470 On ch=1 n=d7 v=0
16492 On ch=1 n=e5 v=0
16514 On ch=1 n=c5 v=0
16514 On ch=1 n=g6 v=77
16522 On ch=1 n=c7 v=0
16556 On ch=1 n=g6 v=0
16568 Par ch=1 c=64 v=0
16618 On ch=1 n=e4 v=57
16621 On ch=1 n=g6 v=76
16692 On ch=1 n=e4 v=0
16718 On ch=1 n=a6 v=70
16724 On ch=1 n=g6 v=0
16794 On ch=1 n=g6 v=69
16797 Par ch=1 c=64 v=127
16810 On ch=1 n=e5 v=31
16834 On ch=1 n=c5 v=34
16842 On ch=1 n=a6 v=0
16872 On ch=1 n=e5 v=0
16886 On ch=1 n=g6 v=0
16894 On ch=1 n=c6 v=58
16900 On ch=1 n=c5 v=0
16942 On ch=1 n=c6 v=0
16952 Par ch=1 c=64 v=0
16994 On ch=1 n=c6 v=74
17048 On ch=1 n=g4 v=28
17222 On ch=1 n=c#6 v=55
17238 On ch=1 n=c6 v=0
17266 On ch=1 n=e5 v=32
17274 Par ch=1 c=64 v=127
17276 On ch=1 n=a#4 v=17
17348 On ch=1 n=e5 v=0
17422 On ch=1 n=g4 v=0
17422 On ch=1 n=a#4 v=0
17486 On ch=1 n=f#4 v=38
17486 On ch=1 n=d6 v=39
17496 On ch=1 n=c#6 v=0
17504 Par ch=1 c=64 v=0
17700 On ch=1 n=f#4 v=0
17720 Par ch=1 c=64 v=127
17728 On ch=1 n=d6 v=0
17750 On ch=1 n=d5 v=31
17758 On ch=1 n=a5 v=41
17770 On ch=1 n=a4 v=24
17806 On ch=1 n=d5 v=0
17840 On ch=1 n=a4 v=0
17950 On ch=1 n=a5 v=0
18012 On ch=1 n=g3 v=48
18024 On ch=1 n=g6 v=62
18060 On ch=1 n=g3 v=0
18072 On ch=1 n=g6 v=0
18092 On ch=1 n=a6 v=54
18136 Par ch=1 c=64 v=0
18152 On ch=1 n=g6 v=45
18194 On ch=1 n=a6 v=0
18208 On ch=1 n=a#4 v=47
18246 On ch=1 n=g6 v=0
18264 On ch=1 n=a#4 v=0
18268 On ch=1 n=g5 v=55
18346 On ch=1 n=g5 v=0
18368 On ch=1 n=a#3 v=67
18376 On ch=1 n=d6 v=62
18422 On ch=1 n=a#3 v=0
18432 On ch=1 n=d6 v=0
18460 On ch=1 n=e6 v=51
18534 On ch=1 n=d6 v=54
18554 On ch=1 n=d5 v=46
18558 On ch=1 n=a#4 v=34
18568 On ch=1 n=e6 v=0
18590 On ch=1 n=d6 v=0
18608 On ch=1 n=d5 v=0
18620 On ch=1 n=g5 v=47
18626 On ch=1 n=a#4 v=0
18682 On ch=1 n=g5 v=0
18728 On ch=1 n=d4 v=64
18738 On ch=1 n=d6 v=65
18788 On ch=1 n=d6 v=0
18818 On ch=1 n=e6 v=51
18910 On ch=1 n=d6 v=51
18926 On ch=1 n=e6 v=0
18926 On ch=1 n=d5 v=45
18936 On ch=1 n=a4 v=35
18974 On ch=1 n=d6 v=0
18994 On ch=1 n=d5 v=0
18994 On ch=1 n=f5 v=45
19004 On ch=1 n=a4 v=0
19052 On ch=1 n=f5 v=0
19092 On ch=1 n=f6 v=81
19176 On ch=1 n=f6 v=0
19182 On ch=1 n=g6 v=75
19244 On ch=1 n=d5 v=55
19247 On ch=1 n=f6 v=74
19262 On ch=1 n=a4 v=52
19286 On ch=1 n=g6 v=0
19290 On ch=1 n=d5 v=0
19312 On ch=1 n=a4 v=0
19328 On ch=1 n=f6 v=0
19331 On ch=1 n=d4 v=0
19342 On ch=1 n=f5 v=57
19388 On ch=1 n=f5 v=0
19436 On ch=1 n=g6 v=94
19436 On ch=1 n=g3 v=76
19472 Par ch=1 c=64 v=127
19474 On ch=1 n=g3 v=0
19518 Par ch=1 c=64 v=0
19518 On ch=1 n=a6 v=75
19538 On ch=1 n=g6 v=0
19606 On ch=1 n=g6 v=81
19606 On ch=1 n=a#4 v=59
19609 On ch=1 n=d5 v=56
19630 On ch=1 n=a6 v=0
19648 On ch=1 n=g6 v=0
19656 On ch=1 n=a#4 v=0
19656 On ch=1 n=d5 v=0
19680 On ch=1 n=g5 v=72
19756 On ch=1 n=g5 v=0
19776 On ch=1 n=a#3 v=68
19798 On ch=1 n=d6 v=87
19828 On ch=1 n=a#3 v=0
19864 On ch=1 n=d6 v=0
19876 On ch=1 n=e6 v=71
19946 On ch=1 n=d5 v=58
19949 On ch=1 n=a#4 v=50
19958 On ch=1 n=d6 v=74
19986 On ch=1 n=e6 v=0
19994 On ch=1 n=d5 v=0
20002 On ch=1 n=a#4 v=0
20046 On ch=1 n=g5 v=59
20054 On ch=1 n=d6 v=0
20104 On ch=1 n=g5 v=0
20138 On ch=1 n=d4 v=74
20144 On ch=1 n=d6 v=73
20232 On ch=1 n=e6 v=57
20242 On ch=1 n=d6 v=0
20302 On ch=1 n=d5 v=53
20308 On ch=1 n=d6 v=83
20320 On ch=1 n=a4 v=42
20348 On ch=1 n=e6 v=0
20382 On ch=1 n=a4 v=0
20392 On ch=1 n=f5 v=64
20406 On ch=1 n=d5 v=0
20406 On ch=1 n=d6 v=0
20448 On ch=1 n=f5 v=0
20496 On ch=1 n=f6 v=83
20568 On ch=1 n=f6 v=0
20576 On ch=1 n=g6 v=76
20634 On ch=1 n=d5 v=44
20642 On ch=1 n=f6 v=72
20644 On ch=1 n=a4 v=48
20686 On ch=1 n=d5 v=0
20696 On ch=1 n=a4 v=0
20698 On ch=1 n=g6 v=0
20702 On ch=1 n=d4 v=0
