MFile 1 3 480
MTrk
0 Tempo 267857
0 KeySig -4 major
20000 On ch=1 n=d#6 v=60
20155 On ch=1 n=d#6 v=0
20160 On ch=1 n=d6 v=60
20315 On ch=1 n=d6 v=0
20320 On ch=1 n=d#6 v=60
20475 On ch=1 n=d#6 v=0
20480 On ch=1 n=g6 v=60
20635 On ch=1 n=g6 v=0
20640 Par ch=1 c=64 v=0
20640 On ch=1 n=a#6 v=75
20795 On ch=1 n=a#6 v=0
20800 On ch=1 n=c7 v=75
20955 On ch=1 n=c7 v=0
20960 On ch=1 n=a#6 v=75
21115 On ch=1 n=a#6 v=0
21120 On ch=1 n=a6 v=75
21275 On ch=1 n=a6 v=0
21280 On ch=1 n=a#6 v=75
21435 On ch=1 n=a#6 v=0
21440 On ch=1 n=f7 v=75
21595 On ch=1 n=f7 v=0
21600 Par ch=1 c=64 v=127
21600 On ch=1 n=d#7 v=92
21755 On ch=1 n=d#7 v=0
21760 On ch=1 n=f7 v=92
21915 On ch=1 n=f7 v=0
21920 On ch=1 n=d#7 v=92
22075 On ch=1 n=d#7 v=0
22080 On ch=1 n=d7 v=92
22235 On ch=1 n=d7 v=0
22240 On ch=1 n=d#7 v=92
22395 On ch=1 n=d#7 v=0
22400 On ch=1 n=b6 v=92
22555 On ch=1 n=b6 v=0
22560 Par ch=1 c=64 v=0
22560 On ch=1 n=c7 v=75
22715 On ch=1 n=c7 v=0
22720 On ch=1 n=c#7 v=75
22875 On ch=1 n=c#7 v=0
22880 On ch=1 n=c7 v=75
23035 On ch=1 n=c7 v=0
23040 On ch=1 n=b6 v=75
23195 On ch=1 n=b6 v=0
23200 On ch=1 n=c7 v=75
23355 On ch=1 n=c7 v=0
23360 On ch=1 n=g6 v=75
23515 On ch=1 n=g6 v=0
23520 Par ch=1 c=64 v=127
23520 On ch=1 n=g#6 v=75
23675 On ch=1 n=g#6 v=0
23680 On ch=1 n=a#6 v=75
23835 On ch=1 n=a#6 v=0
23840 On ch=1 n=g#6 v=75
23995 On ch=1 n=g#6 v=0
24000 On ch=1 n=g6 v=75
24155 On ch=1 n=g6 v=0
24160 On ch=1 n=g#6 v=75
24315 On ch=1 n=g#6 v=0
24320 On ch=1 n=e6 v=75
24475 On ch=1 n=e6 v=0
24480 Par ch=1 c=64 v=0
24480 On ch=1 n=f6 v=75
24635 On ch=1 n=f6 v=0
24640 On ch=1 n=g6 v=75
24795 On ch=1 n=g6 v=0
24800 On ch=1 n=f6 v=75
24955 On ch=1 n=f6 v=0
24960 On ch=1 n=e6 v=75
25115 On ch=1 n=e6 v=0
25120 On ch=1 n=f6 v=75
25275 On ch=1 n=f6 v=0
25280 On ch=1 n=c#6 v=75
25435 On ch=1 n=c#6 v=0
25440 On ch=1 n=c6 v=60
25595 On ch=1 n=c6 v=0
25600 On ch=1 n=c#6 v=60
25755 On ch=1 n=c#6 v=0
25760 On ch=1 n=a#5 v=60
25915 On ch=1 n=a#5 v=0
25920 On ch=1 n=g5 v=60
26075 On ch=1 n=g5 v=0
26080 On ch=1 n=g#5 v=60
26235 On ch=1 n=g#5 v=0
26240 On ch=1 n=a#5 v=60
26395 On ch=1 n=a#5 v=0
26400 On ch=1 n=c6 v=60
26555 On ch=1 n=c6 v=0
26560 On ch=1 n=c#6 v=60
26715 On ch=1 n=c#6 v=0
26720 On ch=1 n=d#6 v=60
26875 On ch=1 n=d#6 v=0
26880 On ch=1 n=f6 v=60
27035 On ch=1 n=f6 v=0
27040 On ch=1 n=g6 v=60
27195 On ch=1 n=g6 v=0
27200 On ch=1 n=g#6 v=60
27355 On ch=1 n=g#6 v=0
27360 Par ch=1 c=64 v=127
27360 On ch=1 n=g6 v=75
27515 On ch=1 n=g6 v=0
27520 On ch=1 n=g#6 v=75
27675 On ch=1 n=g#6 v=0
27680 On ch=1 n=f6 v=75
27835 On ch=1 n=f6 v=0
27840 On ch=1 n=d#6 v=75
27995 On ch=1 n=d#6 v=0
28000 On ch=1 n=f6 v=75
28155 On ch=1 n=f6 v=0
28160 On ch=1 n=c#6 v=75
28315 On ch=1 n=c#6 v=0
28320 Par ch=1 c=64 v=0
28320 On ch=1 n=c6 v=75
28475 On ch=1 n=c6 v=0
28480 On ch=1 n=c#6 v=75
28635 On ch=1 n=c#6 v=0
28640 On ch=1 n=a#5 v=75
28795 On ch=1 n=a#5 v=0
28800 On ch=1 n=c6 v=75
28955 On ch=1 n=c6 v=0
28960 On ch=1 n=f5 v=75
29115 On ch=1 n=f5 v=0
29120 On ch=1 n=g5 v=75
29275 On ch=1 n=g5 v=0
29280 Par ch=1 c=64 v=127
29280 On ch=1 n=g#5 v=60
29435 On ch=1 n=g#5 v=0
29440 On ch=1 n=a#5 v=60
29595 On ch=1 n=a#5 v=0
29600 On ch=1 n=g#5 v=60
29755 On ch=1 n=g#5 v=0
29760 On ch=1 n=g5 v=60
29915 On ch=1 n=g5 v=0
29920 On ch=1 n=g#5 v=60
30075 On ch=1 n=g#5 v=0
30080 On ch=1 n=a5 v=60
30235 On ch=1 n=a5 v=0
30240 Par ch=1 c=64 v=0
30240 On ch=1 n=a#5 v=60
30395 On ch=1 n=a#5 v=0
30400 On ch=1 n=c6 v=60
30555 On ch=1 n=c6 v=0
30560 On ch=1 n=a#5 v=60
30715 On ch=1 n=a#5 v=0
30720 On ch=1 n=c6 v=60
30875 On ch=1 n=c6 v=0
30880 On ch=1 n=f5 v=60
31035 On ch=1 n=f5 v=0
31040 On ch=1 n=g5 v=60
31195 On ch=1 n=g5 v=0
31200 Par ch=1 c=64 v=127
31200 On ch=1 n=g#5 v=60
31355 On ch=1 n=g#5 v=0
31360 On ch=1 n=a#5 v=60
31515 On ch=1 n=a#5 v=0
31520 On ch=1 n=g#5 v=60
31675 On ch=1 n=g#5 v=0
31680 On ch=1 n=g5 v=60
31835 On ch=1 n=g5 v=0
31840 On ch=1 n=g#5 v=60
31995 On ch=1 n=g#5 v=0
32000 On ch=1 n=a5 v=60
32155 On ch=1 n=a5 v=0
32160 Par ch=1 c=64 v=0
32160 On ch=1 n=a#5 v=75
32315 On ch=1 n=a#5 v=0
32320 On ch=1 n=c6 v=75
32475 On ch=1 n=c6 v=0
32480 On ch=1 n=a#5 v=75
32635 On ch=1 n=a#5 v=0
32640 On ch=1 n=c6 v=75
32795 On ch=1 n=c6 v=0
32800 On ch=1 n=f5 v=75
32955 On ch=1 n=f5 v=0
32960 On ch=1 n=g5 v=75
33115 On ch=1 n=g5 v=0
33120 Par ch=1 c=64 v=127
33120 On ch=1 n=g#5 v=92
33275 On ch=1 n=g#5 v=0
33280 On ch=1 n=a#5 v=92
33435 On ch=1 n=a#5 v=0
33440 On ch=1 n=g#5 v=92
33595 On ch=1 n=g#5 v=0
33600 On ch=1 n=g5 v=92
33755 On ch=1 n=g5 v=0
33760 On ch=1 n=g#5 v=92
33915 On ch=1 n=g#5 v=0
33920 On ch=1 n=a#5 v=92
34075 On ch=1 n=a#5 v=0
34080 Par ch=1 c=64 v=127
34080 On ch=1 n=c6 v=92
34235 On ch=1 n=c6 v=0
34240 On ch=1 n=c#6 v=92
34395 On ch=1 n=c#6 v=0
34400 On ch=1 n=c6 v=92
34555 On ch=1 n=c6 v=0
34560 On ch=1 n=b5 v=92
34715 On ch=1 n=b5 v=0
34720 On ch=1 n=c6 v=92
34875 On ch=1 n=c6 v=0
34880 On ch=1 n=c#6 v=92
35035 On ch=1 n=c#6 v=0
35040 On ch=1 n=c6 v=75
35195 On ch=1 n=c6 v=0
35200 On ch=1 n=c#6 v=75
35355 On ch=1 n=c#6 v=0
35360 On ch=1 n=c6 v=75
35515 On ch=1 n=c6 v=0
35520 Par ch=1 c=64 v=0
35520 On ch=1 n=b5 v=75
35675 On ch=1 n=b5 v=0
35680 On ch=1 n=c6 v=75
35835 On ch=1 n=c6 v=0
35840 On ch=1 n=c#6 v=75
35995 On ch=1 n=c#6 v=0
36000 On ch=1 n=c6 v=60
36155 On ch=1 n=c6 v=0
36160 On ch=1 n=c#6 v=60
36315 On ch=1 n=c#6 v=0
36320 On ch=1 n=c6 v=60
36475 On ch=1 n=c6 v=0
36480 On ch=1 n=c#6 v=60
36635 On ch=1 n=c#6 v=0
36640 On ch=1 n=c6 v=60
36795 On ch=1 n=c6 v=0
36800 On ch=1 n=c#6 v=60
36955 On ch=1 n=c#6 v=0
36960 Par ch=1 c=64 v=127
36960 On ch=1 n=c6 v=60
37115 On ch=1 n=c6 v=0
37120 On ch=1 n=c#6 v=60
37275 On ch=1 n=c#6 v=0
37280 On ch=1 n=b5 v=60
37435 On ch=1 n=b5 v=0
37440 On ch=1 n=c6 v=60
37595 On ch=1 n=c6 v=0
37600 On ch=1 n=d#6 v=60
37755 On ch=1 n=d#6 v=0
37760 On ch=1 n=c#6 v=60
37915 On ch=1 n=c#6 v=0
37920 Par ch=1 c=64 v=0
37920 On ch=1 n=c6 v=60
38075 On ch=1 n=c6 v=0
38080 On ch=1 n=c#6 v=60
38235 On ch=1 n=c#6 v=0
38240 On ch=1 n=b5 v=60
38395 On ch=1 n=b5 v=0
38400 On ch=1 n=c6 v=60
38555 On ch=1 n=c6 v=0
38560 On ch=1 n=f#6 v=60
38715 On ch=1 n=f#6 v=0
38720 On ch=1 n=g6 v=60
38875 On ch=1 n=g6 v=0
38880 Par ch=1 c=64 v=127
38880 On ch=1 n=c6 v=60
39035 On ch=1 n=c6 v=0
39040 On ch=1 n=c#6 v=60
39195 On ch=1 n=c#6 v=0
39200 On ch=1 n=b5 v=60
39355 On ch=1 n=b5 v=0
39360 On ch=1 n=c6 v=60
39515 On ch=1 n=c6 v=0
39520 On ch=1 n=d#6 v=60
39675 On ch=1 n=d#6 v=0
39680 On ch=1 n=c#6 v=60
39835 On ch=1 n=c#6 v=0
39840 Par ch=1 c=64 v=0
39840 On ch=1 n=c6 v=60
39995 On ch=1 n=c6 v=0
40000 On ch=1 n=c#6 v=60
40155 On ch=1 n=c#6 v=0
40160 On ch=1 n=b5 v=60
40315 On ch=1 n=b5 v=0
40320 On ch=1 n=c6 v=60
40475 On ch=1 n=c6 v=0
40480 On ch=1 n=g#6 v=60
40635 On ch=1 n=g#6 v=0
40640 On ch=1 n=f6 v=60
40795 On ch=1 n=f6 v=0
40800 Par ch=1 c=64 v=127
40800 On ch=1 n=e6 v=75
40955 On ch=1 n=e6 v=0
40960 On ch=1 n=f6 v=75
41115 On ch=1 n=f6 v=0
41120 On ch=1 n=e6 v=75
41275 On ch=1 n=e6 v=0
41280 On ch=1 n=d#6 v=75
41435 On ch=1 n=d#6 v=0
41440 On ch=1 n=e6 v=75
41595 On ch=1 n=e6 v=0
41600 On ch=1 n=g6 v=75
41755 On ch=1 n=g6 v=0
41760 Par ch=1 c=64 v=0
41760 On ch=1 n=a#6 v=92
41915 On ch=1 n=a#6 v=0
41920 On ch=1 n=c7 v=92
42075 On ch=1 n=c7 v=0
42080 On ch=1 n=a#6 v=92
42235 On ch=1 n=a#6 v=0
42240 On ch=1 n=a6 v=92
42395 On ch=1 n=a6 v=0
42400 On ch=1 n=a#6 v=92
42555 On ch=1 n=a#6 v=0
42560 On ch=1 n=c#7 v=92
42715 On ch=1 n=c#7 v=0
42720 Par ch=1 c=64 v=127
42720 On ch=1 n=c7 v=92
42875 On ch=1 n=c7 v=0
42880 On ch=1 n=c#7 v=92
43035 On ch=1 n=c#7 v=0
43040 On ch=1 n=c7 v=92
43195 On ch=1 n=c7 v=0
43200 On ch=1 n=b6 v=92
43355 On ch=1 n=b6 v=0
43360 On ch=1 n=c7 v=92
43515 On ch=1 n=c7 v=0
43520 On ch=1 n=g6 v=92
43675 On ch=1 n=g6 v=0
43680 Par ch=1 c=64 v=0
43680 On ch=1 n=g#6 v=75
43835 On ch=1 n=g#6 v=0
43840 On ch=1 n=a#6 v=75
43995 On ch=1 n=a#6 v=0
44000 On ch=1 n=g#6 v=75
44155 On ch=1 n=g#6 v=0
44160 On ch=1 n=g6 v=75
44315 On ch=1 n=g6 v=0
44320 On ch=1 n=g#6 v=75
44475 On ch=1 n=g#6 v=0
44480 On ch=1 n=e6 v=75
44635 On ch=1 n=e6 v=0
44640 Par ch=1 c=64 v=127
44640 On ch=1 n=f6 v=75
44795 On ch=1 n=f6 v=0
44800 On ch=1 n=g6 v=75
44955 On ch=1 n=g6 v=0
44960 On ch=1 n=f6 v=75
45115 On ch=1 n=f6 v=0
45120 On ch=1 n=e6 v=75
45275 On ch=1 n=e6 v=0
45280 On ch=1 n=f6 v=75
45435 On ch=1 n=f6 v=0
45440 On ch=1 n=c6 v=75
45595 On ch=1 n=c6 v=0
45600 Par ch=1 c=64 v=0
45600 On ch=1 n=c#6 v=75
45755 On ch=1 n=c#6 v=0
45760 On ch=1 n=d#6 v=75
45915 On ch=1 n=d#6 v=0
45920 On ch=1 n=c#6 v=75
46075 On ch=1 n=c#6 v=0
46080 On ch=1 n=c6 v=75
46235 On ch=1 n=c6 v=0
46240 On ch=1 n=c#6 v=75
46395 On ch=1 n=c#6 v=0
46400 On ch=1 n=b5 v=75
46555 On ch=1 n=b5 v=0
46560 Par ch=1 c=64 v=127
46560 On ch=1 n=c6 v=60
46715 On ch=1 n=c6 v=0
46720 On ch=1 n=c#6 v=60
46875 On ch=1 n=c#6 v=0
46880 On ch=1 n=c6 v=60
47035 On ch=1 n=c6 v=0
47040 On ch=1 n=b5 v=60
47195 On ch=1 n=b5 v=0
47200 On ch=1 n=c6 v=60
47355 On ch=1 n=c6 v=0
47360 On ch=1 n=g5 v=60
47515 On ch=1 n=g5 v=0
47520 Par ch=1 c=64 v=0
47520 On ch=1 n=g#5 v=60
47675 On ch=1 n=g#5 v=0
47680 On ch=1 n=a#5 v=60
47835 On ch=1 n=a#5 v=0
47840 On ch=1 n=g#5 v=60
47995 On ch=1 n=g#5 v=0
48000 On ch=1 n=g5 v=60
48155 On ch=1 n=g5 v=0
48160 On ch=1 n=g#5 v=60
48315 On ch=1 n=g#5 v=0
48320 On ch=1 n=f5 v=60
48475 On ch=1 n=f5 v=0
48480 Par ch=1 c=64 v=127
48480 On ch=1 n=e5 v=60
48635 On ch=1 n=e5 v=0
48640 On ch=1 n=g5 v=60
48795 On ch=1 n=g5 v=0
48800 On ch=1 n=a#5 v=60
48955 On ch=1 n=a#5 v=0
48960 On ch=1 n=c#6 v=60
49115 On ch=1 n=c#6 v=0
49120 On ch=1 n=e6 v=60
49275 On ch=1 n=e6 v=0
49280 On ch=1 n=g6 v=60
49435 On ch=1 n=g6 v=0
49440 Par ch=1 c=64 v=0
49440 On ch=1 n=a#6 v=75
49595 On ch=1 n=a#6 v=0
49600 On ch=1 n=c#7 v=75
49755 On ch=1 n=c#7 v=0
49760 On ch=1 n=c7 v=75
49915 On ch=1 n=c7 v=0
49920 On ch=1 n=a#6 v=75
50075 On ch=1 n=a#6 v=0
50080 On ch=1 n=g#6 v=75
50235 On ch=1 n=g#6 v=0
50240 On ch=1 n=g6 v=75
50395 On ch=1 n=g6 v=0
50400 Par ch=1 c=64 v=127
50400 On ch=1 n=a#6 v=92
50555 On ch=1 n=a#6 v=0
50560 On ch=1 n=c7 v=92
50715 On ch=1 n=c7 v=0
50720 On ch=1 n=g#6 v=92
50875 On ch=1 n=g#6 v=0
50880 On ch=1 n=g6 v=92
51035 On ch=1 n=g6 v=0
51040 On ch=1 n=g#6 v=92
51195 On ch=1 n=g#6 v=0
51200 On ch=1 n=f6 v=92
51355 On ch=1 n=f6 v=0
51360 Par ch=1 c=64 v=0
51360 On ch=1 n=e6 v=75
51515 On ch=1 n=e6 v=0
51520 On ch=1 n=g6 v=75
51675 On ch=1 n=g6 v=0
51680 On ch=1 n=f6 v=75
51835 On ch=1 n=f6 v=0
51840 On ch=1 n=e6 v=75
51995 On ch=1 n=e6 v=0
52000 On ch=1 n=f6 v=75
52155 On ch=1 n=f6 v=0
52160 On ch=1 n=c#6 v=75
52315 On ch=1 n=c#6 v=0
52320 Par ch=1 c=64 v=127
52320 On ch=1 n=c6 v=60
52475 On ch=1 n=c6 v=0
52480 On ch=1 n=c#6 v=60
52635 On ch=1 n=c#6 v=0
52640 On ch=1 n=b5 v=60
52795 On ch=1 n=b5 v=0
52800 On ch=1 n=c6 v=60
52955 On ch=1 n=c6 v=0
52960 On ch=1 n=d#6 v=60
53115 On ch=1 n=d#6 v=0
53120 On ch=1 n=c#6 v=60
53275 On ch=1 n=c#6 v=0
53280 Par ch=1 c=64 v=0
53280 On ch=1 n=c6 v=60
