MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
23672 On ch=1 n=g#5 v=24
23724 On ch=1 n=g#3 v=0
23730 On ch=1 n=g#4 v=0
23852 Par ch=1 c=64 v=0
24190 Par ch=1 c=64 v=127
24344 On ch=1 n=a5 v=15
24360 On ch=1 n=a3 v=16
24392 On ch=1 n=a4 v=9
24450 On ch=1 n=g#5 v=0
24620 Par ch=1 c=64 v=0
24850 Par ch=1 c=64 v=127
24954 On ch=1 n=e5 v=18
24960 On ch=1 n=e3 v=22
24972 On ch=1 n=a3 v=0
25024 On ch=1 n=a4 v=0
25042 On ch=1 n=a5 v=0
25112 Par ch=1 c=64 v=0
25296 Par ch=1 c=64 v=127
25484 On ch=1 n=e3 v=0
25548 On ch=1 n=c#5 v=40
25562 On ch=1 n=c#3 v=14
25565 On ch=1 n=e5 v=0
25568 On ch=1 n=c#4 v=18
25726 Par ch=1 c=64 v=0
25926 Par ch=1 c=64 v=127
26090 On ch=1 n=e5 v=43
26114 On ch=1 n=c#4 v=0
26116 On ch=1 n=c#5 v=0
26124 On ch=1 n=e3 v=39
26130 On ch=1 n=c#3 v=0
26310 Par ch=1 c=64 v=0
26478 Par ch=1 c=64 v=127
26630 On ch=1 n=e3 v=0
26632 On ch=1 n=g#5 v=38
26648 On ch=1 n=g#4 v=23
26652 On ch=1 n=g#3 v=31
26686 On ch=1 n=e5 v=0
26740 Par ch=1 c=64 v=0
26986 Par ch=1 c=64 v=127
27148 On ch=1 n=d#3 v=25
27166 On ch=1 n=d#5 v=32
27208 On ch=1 n=g#3 v=0
27218 On ch=1 n=g#4 v=0
27324 Par ch=1 c=64 v=0
27330 On ch=1 n=g#5 v=0
27524 Par ch=1 c=64 v=127
27658 On ch=1 n=d#3 v=0
27710 On ch=1 n=d#5 v=0
27710 On ch=1 n=b4 v=26
27734 On ch=1 n=b3 v=9
27752 On ch=1 n=b2 v=16
27846 Par ch=1 c=64 v=0
28062 Par ch=1 c=64 v=127
28206 On ch=1 n=b4 v=0
28228 On ch=1 n=b2 v=0
28240 On ch=1 n=d#3 v=15
28248 On ch=1 n=d#5 v=32
28250 On ch=1 n=b3 v=0
28306 Par ch=1 c=64 v=0
28522 Par ch=1 c=64 v=127
28680 On ch=1 n=d#3 v=0
28794 On ch=1 n=f#5 v=28
28796 On ch=1 n=f#4 v=34
28826 On ch=1 n=f#3 v=23
28830 On ch=1 n=d#5 v=0
28830 Par ch=1 c=64 v=0
29044 Par ch=1 c=64 v=127
29250 On ch=1 n=f#4 v=0
29276 On ch=1 n=f#3 v=0
29298 On ch=1 n=e5 v=46
29318 On ch=1 n=e3 v=25
29514 On ch=1 n=f#5 v=0
29526 On ch=1 n=e3 v=0
29538 On ch=1 n=d#5 v=52
29554 On ch=1 n=d#3 v=30
29554 On ch=1 n=d#4 v=33
29636 On ch=1 n=e5 v=0
29682 On ch=1 n=d#4 v=0
29798 On ch=1 n=d#3 v=0
29800 On ch=1 n=c#4 v=36
29812 On ch=1 n=c#5 v=52
29818 On ch=1 n=c#3 v=28
29918 On ch=1 n=d#5 v=0
29936 Par ch=1 c=64 v=0
30136 Par ch=1 c=64 v=127
30142 On ch=1 n=c#4 v=0
30244 On ch=1 n=c#3 v=0
30310 On ch=1 n=b4 v=39
30328 On ch=1 n=c#5 v=0
30328 On ch=1 n=b2 v=39
30340 On ch=1 n=b3 v=24
30404 On ch=1 n=b3 v=0
30521 On ch=1 n=b2 v=0
30558 On ch=1 n=a#4 v=46
30566 On ch=1 n=b4 v=0
30568 On ch=1 n=a#3 v=20
30568 On ch=1 n=a#2 v=24
30794 On ch=1 n=a#3 v=0
30846 On ch=1 n=a#4 v=0
30858 Par ch=1 c=64 v=0
30866 On ch=1 n=d#5 v=44
30872 On ch=1 n=d#4 v=30
30880 On ch=1 n=a#2 v=0
30884 On ch=1 n=d#3 v=32
31164 Par ch=1 c=64 v=127
31206 On ch=1 n=d#4 v=0
31316 On ch=1 n=d#5 v=0
31356 On ch=1 n=d#3 v=0
31406 On ch=1 n=e5 v=44
31418 On ch=1 n=e4 v=32
31440 On ch=1 n=e3 v=36
31534 Par ch=1 c=64 v=0
31750 Par ch=1 c=64 v=127
31854 On ch=1 n=e4 v=0
31930 On ch=1 n=c#5 v=50
31962 On ch=1 n=c#3 v=24
31964 On ch=1 n=e5 v=0
31974 On ch=1 n=c#4 v=15
31982 On ch=1 n=e3 v=0
32026 Par ch=1 c=64 v=0
32256 Par ch=1 c=64 v=127
32388 On ch=1 n=c#4 v=0
